Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
10/30/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.16,Posted,income,jeff_pay
10/30/24,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,294,Posted,income,jeff_pay
10/28/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-63.13,Posted,misc_expenses,miscellaneous
10/25/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
10/24/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1000,Posted,savings,savings
10/24/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
10/24/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********5560,Credit Card Payment,-500,Posted,misc_expenses,chase_credit_card
10/23/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-162,Posted,fixed_expenses,child_care
10/23/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-252,Posted,fixed_expenses,child_care
10/21/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-53.77,Posted,misc_expenses,miscellaneous
10/17/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********3826,Credit Card Payment,-355.54,Posted,misc_expenses,chase_credit_card
10/16/24,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,misc_expenses,miscellaneous
10/16/24,Internet Withdrawal,INTERNET WITHDRAWAL,Uncategorized,-25,Posted,misc_expenses,miscellaneous
10/16/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
10/15/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-15.92,Posted,misc_expenses,miscellaneous
10/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
10/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
10/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
10/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
10/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
10/10/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.19,Posted,income,jeff_pay
10/9/24,Navy Exchange,NAVY EXCHANGE 110290     SAN DIEGO    CA,Shopping,-23.79,Posted,misc_expenses,miscellaneous
10/8/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-405,Posted,fixed_expenses,child_care
10/4/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-95,Posted,fixed_expenses,child_care
10/3/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance
10/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
10/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
10/1/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
10/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
9/30/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2000,Posted,savings,savings
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********1267,Shopping,80.52,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,72.49,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,59.4,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,59.01,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,51.92,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,50.34,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,13.08,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,13.08,Posted,misc_expenses,miscellaneous
9/30/24,ATM Fee Rebate,ATM REBATE,Atm Fee,3,Posted,misc_expenses,miscellaneous
9/30/24,ATM Withdrawal,Wells Fargo Ban          VIRGINIA BEACVA,Cash,-63,Posted,misc_expenses,miscellaneous
9/30/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-69.22,Posted,misc_expenses,miscellaneous
9/30/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-4498.7,Posted,fixed_expenses,usaa_credit_card
9/27/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay
9/25/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
9/24/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
9/23/24,7-Eleven,7ELEVEN-FCTI             VIRGINIA BEACVA,Cash,-60,Posted,misc_expenses,miscellaneous
9/18/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-51.92,Posted,misc_expenses,miscellaneous
9/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-268.51,Posted,misc_expenses,miscellaneous
9/17/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
9/16/24,Interest Paid,INTEREST PAID,Interest Income,0.04,Posted,fixed_expenses,miscellaneous
9/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
9/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
9/16/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-50.34,Posted,misc_expenses,miscellaneous
9/16/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-59.4,Posted,misc_expenses,miscellaneous
9/16/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-72.49,Posted,misc_expenses,miscellaneous
9/16/24,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-219.81,Posted,fixed_expenses,housing_utilities
9/16/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
9/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
9/16/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
9/12/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********6683,Credit Card Payment,-2492.32,Posted,misc_expenses,chase_credit_card
9/11/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay
9/11/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-13.08,Posted,misc_expenses,miscellaneous
9/11/24,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-13.08,Posted,misc_expenses,miscellaneous
9/10/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2500,Posted,savings,savings
9/10/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
9/9/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0196,Shopping,-5.03,Posted,misc_expenses,miscellaneous
9/9/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0196,Shopping,-7.31,Posted,misc_expenses,miscellaneous
9/9/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-45.04,Posted,misc_expenses,miscellaneous
9/9/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-51.42,Posted,misc_expenses,miscellaneous
9/9/24,Target,TARGET DEBIT CRD ACH TRAN   ***********1474,Shopping,-125.18,Posted,misc_expenses,miscellaneous
9/6/24,ATM Fee Rebate,ATM REBATE,Atm Fee,2.5,Posted,misc_expenses,miscellaneous
9/6/24,Lemoyne,P95903                   LEMOYNE      PA,Cash,-42.5,Posted,misc_expenses,miscellaneous
9/4/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-175.37,Posted,fixed_expenses,housing_utilities
9/4/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance
9/3/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-17.8,Posted,misc_expenses,miscellaneous
9/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
9/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
9/3/24,D & Q Nails Spa Virginia Beacva,D & Q NAILS SPA          VIRGINIA BEACVA,Personal Care,-83,Posted,misc_expenses,personal_care
9/3/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care
9/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
9/3/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-3062.57,Posted,misc_expenses,usaa_credit_card
8/29/24,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,350.75,Posted,income,jeff_pay
8/28/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay
8/27/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
8/22/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-40,Posted,fixed_expenses,child_care
8/21/24,Nordstrom,NORDSTROM        TRANS      ***********9798,Shopping,-192.67,Posted,misc_expenses,clothing
8/21/24,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-220.77,Posted,fixed_expenses,housing_utilities
8/20/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********4004,Credit Card Payment,-153.99,Posted,misc_expenses,chase_credit_card
8/19/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-238.03,Posted,misc_expenses,miscellaneous
8/16/24,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous
8/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
8/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
8/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
8/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
8/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
8/13/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay
8/8/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-45,Posted,fixed_expenses,child_care
8/7/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-1,Posted,fixed_expenses,child_care
8/7/24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-45,Posted,fixed_expenses,child_care
8/6/24,ATM Fee Rebate,ATM REBATE,Atm Fee,3,Posted,income,miscellaneous
8/6/24,North Island,NORTH ISLAND CR          CORONADO     CA,Cash,-103,Posted,misc_expenses,miscellaneous
8/5/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,45.3,Posted,misc_expenses,miscellaneous
8/5/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-42.22,Posted,misc_expenses,miscellaneous
8/5/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-147.48,Posted,fixed_expenses,insurance
8/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
8/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
8/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
7/31/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0185,Shopping,-22.15,Posted,misc_expenses,miscellaneous
7/31/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-3830.51,Posted,misc_expenses,usaa_credit_card
7/30/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay
7/26/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
7/26/24,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance
7/25/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0184,Shopping,-21.53,Posted,misc_expenses,miscellaneous
7/23/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0184,Shopping,-15.68,Posted,misc_expenses,miscellaneous
7/22/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-171.35,Posted,misc_expenses,miscellaneous
7/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0179,Shopping,-90.61,Posted,misc_expenses,miscellaneous
7/17/24,Zelle Transfer to Lauren,Zelle: Lauren,Transfer,-105,Posted,misc_expenses,child_care
7/17/24,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-166.73,Posted,fixed_expenses,housing_utilities
7/17/24,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-544.16,Posted,fixed_expenses,housing_utilities
7/17/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********3428,Credit Card Payment,-583.42,Posted,misc_expenses,chase_credit_card
7/16/24,Interest Paid,INTEREST PAID,Interest Income,0.06,Posted,income,miscellaneous
7/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
7/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
7/15/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-147.08,Posted,misc_expenses,miscellaneous
7/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
7/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
7/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
7/11/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay
7/3/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-18.3,Posted,fixed_expenses,insurance
7/3/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-154.11,Posted,misc_expenses,miscellaneous
7/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
7/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
7/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
7/1/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-3938.32,Posted,misc_expenses,usaa_credit_card
6/27/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay
6/24/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-68.2,Posted,misc_expenses,miscellaneous
6/21/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0173,Shopping,-22.15,Posted,misc_expenses,miscellaneous
6/20/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-70.49,Posted,misc_expenses,miscellaneous
6/17/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
6/17/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
6/17/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
6/17/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
6/17/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities
6/14/24,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous
6/12/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay
6/4/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-188.26,Posted,fixed_expenses,insurance
6/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
6/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
6/3/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-54,Posted,misc_expenses,child_care
6/3/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
5/31/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,35.02,Posted,misc_expenses,miscellaneous
5/31/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-11.98,Posted,misc_expenses,miscellaneous
5/31/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-54,Posted,misc_expenses,child_care
5/31/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-105.5,Posted,misc_expenses,miscellaneous
5/31/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2773,Posted,fixed_expenses,housing_utilities
5/29/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay
5/29/24,Nordstrom,NORDSTROM        TRANS      ***********9818,Shopping,16.93,Posted,misc_expenses,clothing
5/28/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,35.61,Posted,misc_expenses,miscellaneous
5/28/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,25.18,Posted,misc_expenses,miscellaneous
5/28/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-175,Posted,misc_expenses,miscellaneous
5/28/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0170,Shopping,-281.95,Posted,misc_expenses,miscellaneous
5/24/24,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,365.75,Posted,income,jeff_pay
5/22/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********8670,Credit Card Payment,-946.56,Posted,misc_expenses,chase_credit_card
5/21/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-54,Posted,misc_expenses,child_care
5/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,25.18,Posted,misc_expenses,miscellaneous
5/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-28.33,Posted,misc_expenses,miscellaneous
5/17/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-54,Posted,misc_expenses,child_care
5/16/24,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous
5/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
5/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
5/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
5/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
5/14/24,Target,TARGET DEBIT CRD ACH TRAN   ***********0070,Shopping,-25.18,Posted,misc_expenses,miscellaneous
5/14/24,Nordstrom,NORDSTROM        TRANS      ***********7455,Shopping,-144.06,Posted,misc_expenses,clothing
5/13/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay
5/13/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-40.48,Posted,misc_expenses,miscellaneous
5/6/24,ATM Fee Rebate,ATM REBATE,Atm Fee,4,Posted,income,miscellaneous
5/6/24,Zelle Transfer from Makayla,Zelle: Makayla,Income,1,Posted,misc_expenses,miscellaneous
5/6/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-1,Posted,misc_expenses,child_care
5/6/24,Zelle Transfer to Makayla,Zelle: Makayla,Transfer,-1,Posted,misc_expenses,child_care
5/6/24,Bank of America Virginia Beacva,BANK OF AMERICA          VIRGINIA BEACVA,Cash,-24,Posted,misc_expenses,miscellaneous
5/6/24,Zelle Transfer to Geffers,Zelle:  Geffers,Transfer,-54,Posted,misc_expenses,child_care
5/6/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-2288.08,Posted,misc_expenses,usaa_credit_card
5/6/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-2700,Posted,fixed_expenses,housing_utilities
5/3/24,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-188.26,Posted,fixed_expenses,insurance
5/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
5/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
5/1/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
4/29/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5432.42,Posted,income,jeff_pay
4/29/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-118.16,Posted,misc_expenses,miscellaneous
4/26/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-69.65,Posted,misc_expenses,miscellaneous
4/25/24,Mobile Deposit,DEPOSIT@MOBILE,Income,97.6,Posted,income,miscellaneous
4/25/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,7.05,Posted,misc_expenses,miscellaneous
4/22/24,Mobile Deposit,DEPOSIT@MOBILE,Income,46.2,Posted,income,miscellaneous
4/22/24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********8987,Credit Card Payment,-699.83,Posted,misc_expenses,chase_credit_card
4/22/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-6901.81,Posted,misc_expenses,usaa_credit_card
4/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,65.91,Posted,misc_expenses,miscellaneous
4/17/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-6.43,Posted,misc_expenses,miscellaneous
4/16/24,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous
4/15/24,Defense Finance and Accounting Service,DFAS-CLEVELAND    IATS PAY  ***********1645,Paycheck,6222.17,Posted,income,jeff_pay
4/15/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,32.12,Posted,misc_expenses,miscellaneous
4/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
4/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-50,Posted,savings,savings
4/15/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-172.81,Posted,misc_expenses,miscellaneous
4/15/24,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation
4/15/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-1100,Posted,savings,savings
4/11/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5410.86,Posted,income,jeff_pay
4/11/24,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,26.17,Posted,misc_expenses,miscellaneous
