Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category,key,month
2025-01-08,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********0894,Credit Card Payment,-681.66,Posted,misc_expenses,NA,Chase Credit Card_-681.66_1/8/25,2025-01
2025-01-07,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-342_1/7/25,2025-01
2025-01-02,Target,TARGET DEBIT CRD ACH TRAN   ***********1168,Shopping,-18.48,Posted,misc_expenses,NA,Target_-18.48_1/2/25,2025-01
2024-12-31,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-18,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-18_12/31/24,2024-12
2024-12-31,Target,TARGET DEBIT CRD ACH TRAN   ***********0833,Shopping,-71.23,Posted,misc_expenses,NA,Target_-71.23_12/31/24,2024-12
2024-12-31,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-342_12/31/24,2024-12
2024-12-30,Target,TARGET DEBIT CRD ACH TRAN   ***********0671,Shopping,-15.09,Posted,misc_expenses,NA,Target_-15.09_12/30/24,2024-12
2024-12-30,Target,TARGET DEBIT CRD ACH TRAN   ***********0671,Shopping,-27.44,Posted,misc_expenses,NA,Target_-27.44_12/30/24,2024-12
2024-12-27,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5811.73,Posted,income,NA,Defense Finance and Accounting Service_5811.73_12/27/24,2024-12
2024-12-26,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,NA,Midland National Life Insurance_-195.8_12/26/24,2024-12
2024-12-24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-324_12/24/24,2024-12
2024-12-23,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********5497,Credit Card Payment,-500,Posted,misc_expenses,NA,Chase Credit Card_-500_12/23/24,2024-12
2024-12-20,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-168.27,Posted,misc_expenses,NA,Target_-168.27_12/20/24,2024-12
2024-12-18,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-108,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-108_12/18/24,2024-12
2024-12-17,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-150,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-150_12/17/24,2024-12
2024-12-16,Interest Paid,INTEREST PAID,Interest Income,0.04,Posted,income,NA,Interest Paid_0.04_12/16/24,2024-12
2024-12-16,Starbucks,STARBUCKS STORE 21598    VIRGINIA BEACVA,Coffee Shops,-32,Posted,misc_expenses,NA,Starbucks_-32_12/16/24,2024-12
2024-12-16,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-108,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-108_12/16/24,2024-12
2024-12-16,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-127.25,Posted,fixed_expenses,NA,Dominion Energy_-127.25_12/16/24,2024-12
2024-12-16,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,NA,ICPayment_-814.04_12/16/24,2024-12
2024-12-16,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,NA,USAA Transfer_-3200_12/16/24,2024-12
2024-12-13,Target,TARGET DEBIT CRD ACH TRAN   ***********0225,Shopping,-13.09,Posted,misc_expenses,NA,Target_-13.09_12/13/24,2024-12
2024-12-13,Target,TARGET DEBIT CRD ACH TRAN   ***********0221,Shopping,-39.73,Posted,misc_expenses,NA,Target_-39.73_12/13/24,2024-12
2024-12-12,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,49.82,Posted,misc_expenses,NA,Target_49.82_12/12/24,2024-12
2024-12-12,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-109.82,Posted,misc_expenses,NA,Target_-109.82_12/12/24,2024-12
2024-12-11,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5811.66,Posted,income,NA,Defense Finance and Accounting Service_5811.66_12/11/24,2024-12
2024-12-11,Nordstrom,NORDSTROM        TRANS      ***********0830,Shopping,-68.8,Posted,misc_expenses,NA,Nordstrom_-68.8_12/11/24,2024-12
2024-12-10,Little Creek Com a Virginia Beacva,LITTLE CREEK COM 1180 A  VIRGINIA BEACVA,Groceries,-40.93,Posted,fixed_expenses,NA,Little Creek Com a Virginia Beacva_-40.93_12/10/24,2024-12
2024-12-10,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-342_12/10/24,2024-12
2024-12-09,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,677,Posted,income,NA,Federal Payment_677_12/9/24,2024-12
2024-12-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,189.53,Posted,misc_expenses,NA,Target_189.53_12/9/24,2024-12
2024-12-09,Zappos.com,ZAP*ZAPPOS.COM           800-927-7671 NV,Clothing,80.65,Posted,misc_expenses,NA,Zappos.com_80.65_12/9/24,2024-12
2024-12-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,40.01,Posted,misc_expenses,NA,Target_40.01_12/9/24,2024-12
2024-12-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-20.13,Posted,misc_expenses,NA,Target_-20.13_12/9/24,2024-12
2024-12-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-110.2,Posted,misc_expenses,NA,Target_-110.2_12/9/24,2024-12
2024-12-03,Target,TARGET DEBIT CRD ACH TRAN   ***********0220,Shopping,-18.01,Posted,misc_expenses,NA,Target_-18.01_12/3/24,2024-12
2024-12-03,Target,TARGET DEBIT CRD ACH TRAN   ***********0220,Shopping,-20.13,Posted,misc_expenses,NA,Target_-20.13_12/3/24,2024-12
2024-12-03,Zappos.com,ZAP*ZAPPOS.COM           800-927-7671 NV,Clothing,-80.65,Posted,misc_expenses,NA,Zappos.com_-80.65_12/3/24,2024-12
2024-12-03,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,NA,USAA Property and Casualty Insurance_-193.14_12/3/24,2024-12
2024-12-03,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,NA,Zelle Transfer to Amber Carroll_-342_12/3/24,2024-12
2024-12-02,Kroger,KROGER #533 1800 REPUBL  VIRGINIA BEACVA,Groceries,5.5,Posted,misc_expenses,NA,Kroger_5.5_12/2/24,2024-12
2024-12-02,7-Eleven,7-ELEVEN                 Virginia BeacVA,Gas,-7.15,Posted,misc_expenses,NA,7-Eleven_-7.15_12/2/24,2024-12
2024-12-02,Target,TARGET DEBIT CRD ACH TRAN   ***********0219,Shopping,-49.33,Posted,misc_expenses,NA,Target_-49.33_12/2/24,2024-12
2024-12-02,Trader Joe's,TRADER JOE S #660        VIRGINIA BEACVA,Groceries,-90.91,Posted,fixed_expenses,NA,Trader Joe's_-90.91_12/2/24,2024-12
2024-12-02,Kroger,KROGER #533              VIRGINIA BEACVA,Groceries,-135.46,Posted,fixed_expenses,NA,Kroger_-135.46_12/2/24,2024-12
2024-11-29,Target,TARGET DEBIT CRD ACH TRAN   ***********0217,Shopping,-40.02,Posted,misc_expenses,clothing,Target_-40.02_11/29/24,2024-11
2024-11-29,Target,TARGET DEBIT CRD ACH TRAN   ***********0217,Shopping,-120.06,Posted,misc_expenses,clothing,Target_-120.06_11/29/24,2024-11
2024-11-26,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.16,Posted,income,jeff_pay,Defense Finance and Accounting Service_5423.16_11/26/24,2024-11
2024-11-26,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance,Midland National Life Insurance_-195.8_11/26/24,2024-11
2024-11-26,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_11/26/24,2024-11
2024-11-25,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,11.98,Posted,misc_expenses,clothing,Target_11.98_11/25/24,2024-11
2024-11-25,Target,TARGET DEBIT CRD ACH TRAN   ***********1047,Shopping,-38.02,Posted,misc_expenses,clothing,Target_-38.02_11/25/24,2024-11
2024-11-21,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********4024,Credit Card Payment,-1032.26,Posted,misc_expenses,chase_credit_card,Chase Credit Card_-1032.26_11/21/24,2024-11
2024-11-20,Target,TARGET DEBIT CRD ACH TRAN   ***********0199,Shopping,-69.67,Posted,misc_expenses,clothing,Target_-69.67_11/20/24,2024-11
2024-11-18,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-333,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-333_11/18/24,2024-11
2024-11-15,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous,Interest Paid_0.03_11/15/24,2024-11
2024-11-15,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation,ICPayment_-814.04_11/15/24,2024-11
2024-11-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities,USAA Transfer_-3200_11/15/24,2024-11
2024-11-14,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-316.25,Posted,fixed_expenses,housing_utilities,Dominion Energy_-316.25_11/14/24,2024-11
2024-11-13,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.19,Posted,income,jeff_pay,Defense Finance and Accounting Service_5423.19_11/13/24,2024-11
2024-11-12,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,2.71,Posted,misc_expenses,miscellaneous,Target_2.71_11/12/24,2024-11
2024-11-12,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-41.41,Posted,misc_expenses,clothing,Target_-41.41_11/12/24,2024-11
2024-11-12,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-342,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-342_11/12/24,2024-11
2024-11-05,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance,USAA Property and Casualty Insurance_-193.14_11/5/24,2024-11
2024-11-05,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_11/5/24,2024-11
2024-11-04,Water Bill,USAA FUNDS TRANSFER DB,Transfer,-188.67,Posted,fixed_expenses,housing_utilities,Water Bill_-188.67_11/4/24,2024-11
2024-10-30,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.16,Posted,income,jeff_pay,Defense Finance and Accounting Service_5423.16_10/30/24,2024-10
2024-10-30,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,294,Posted,income,jeff_pay,Federal Payment_294_10/30/24,2024-10
2024-10-28,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-63.13,Posted,misc_expenses,miscellaneous,Target_-63.13_10/28/24,2024-10
2024-10-25,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance,Midland National Life Insurance_-195.8_10/25/24,2024-10
2024-10-24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_10/24/24,2024-10
2024-10-24,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********5560,Credit Card Payment,-500,Posted,misc_expenses,chase_credit_card,Chase Credit Card_-500_10/24/24,2024-10
2024-10-23,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-162,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-162_10/23/24,2024-10
2024-10-23,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-252,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-252_10/23/24,2024-10
2024-10-21,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-53.77,Posted,misc_expenses,miscellaneous,Target_-53.77_10/21/24,2024-10
2024-10-17,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********3826,Credit Card Payment,-355.54,Posted,misc_expenses,chase_credit_card,Chase Credit Card_-355.54_10/17/24,2024-10
2024-10-16,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,misc_expenses,miscellaneous,Interest Paid_0.03_10/16/24,2024-10
2024-10-16,Internet Withdrawal,INTERNET WITHDRAWAL,Uncategorized,-25,Posted,misc_expenses,miscellaneous,Internet Withdrawal_-25_10/16/24,2024-10
2024-10-16,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_10/16/24,2024-10
2024-10-15,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-15.92,Posted,misc_expenses,miscellaneous,Target_-15.92_10/15/24,2024-10
2024-10-15,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation,ICPayment_-814.04_10/15/24,2024-10
2024-10-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities,USAA Transfer_-3200_10/15/24,2024-10
2024-10-10,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5423.19,Posted,income,jeff_pay,Defense Finance and Accounting Service_5423.19_10/10/24,2024-10
2024-10-09,Navy Exchange,NAVY EXCHANGE 110290     SAN DIEGO    CA,Shopping,-23.79,Posted,misc_expenses,miscellaneous,Navy Exchange_-23.79_10/9/24,2024-10
2024-10-08,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-405,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-405_10/8/24,2024-10
2024-10-04,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-95,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-95_10/4/24,2024-10
2024-10-03,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance,USAA Property and Casualty Insurance_-193.14_10/3/24,2024-10
2024-10-01,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_10/1/24,2024-10
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********1267,Shopping,80.52,Posted,misc_expenses,miscellaneous,Target_80.52_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,72.49,Posted,misc_expenses,miscellaneous,Target_72.49_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,59.4,Posted,misc_expenses,miscellaneous,Target_59.4_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,59.01,Posted,misc_expenses,miscellaneous,Target_59.01_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,51.92,Posted,misc_expenses,miscellaneous,Target_51.92_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,50.34,Posted,misc_expenses,miscellaneous,Target_50.34_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,13.08,Posted,misc_expenses,miscellaneous,Target_13.08_9/30/24,2024-09
2024-09-30,ATM Fee Rebate,ATM REBATE,Atm Fee,3,Posted,misc_expenses,miscellaneous,ATM Fee Rebate_3_9/30/24,2024-09
2024-09-30,ATM Withdrawal,Wells Fargo Ban          VIRGINIA BEACVA,Cash,-63,Posted,misc_expenses,miscellaneous,ATM Withdrawal_-63_9/30/24,2024-09
2024-09-30,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-69.22,Posted,misc_expenses,miscellaneous,Target_-69.22_9/30/24,2024-09
2024-09-27,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay,Defense Finance and Accounting Service_5422.82_9/27/24,2024-09
2024-09-25,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance,Midland National Life Insurance_-195.8_9/25/24,2024-09
2024-09-24,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_9/24/24,2024-09
2024-09-23,7-Eleven,7ELEVEN-FCTI             VIRGINIA BEACVA,Cash,-60,Posted,misc_expenses,miscellaneous,7-Eleven_-60_9/23/24,2024-09
2024-09-18,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-51.92,Posted,misc_expenses,miscellaneous,Target_-51.92_9/18/24,2024-09
2024-09-17,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-268.51,Posted,misc_expenses,miscellaneous,Target_-268.51_9/17/24,2024-09
2024-09-17,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_9/17/24,2024-09
2024-09-16,Interest Paid,INTEREST PAID,Interest Income,0.04,Posted,fixed_expenses,miscellaneous,Interest Paid_0.04_9/16/24,2024-09
2024-09-16,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-50.34,Posted,misc_expenses,miscellaneous,Target_-50.34_9/16/24,2024-09
2024-09-16,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-59.4,Posted,misc_expenses,miscellaneous,Target_-59.4_9/16/24,2024-09
2024-09-16,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-72.49,Posted,misc_expenses,miscellaneous,Target_-72.49_9/16/24,2024-09
2024-09-16,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-219.81,Posted,fixed_expenses,housing_utilities,Dominion Energy_-219.81_9/16/24,2024-09
2024-09-16,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation,ICPayment_-814.04_9/16/24,2024-09
2024-09-16,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities,USAA Transfer_-3200_9/16/24,2024-09
2024-09-12,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********6683,Credit Card Payment,-2492.32,Posted,misc_expenses,chase_credit_card,Chase Credit Card_-2492.32_9/12/24,2024-09
2024-09-11,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay,Defense Finance and Accounting Service_5422.86_9/11/24,2024-09
2024-09-11,Target,TARGET DEBIT CRD ACH TRAN   ***********3991,Shopping,-13.08,Posted,misc_expenses,miscellaneous,Target_-13.08_9/11/24,2024-09
2024-09-10,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_9/10/24,2024-09
2024-09-09,Target,TARGET DEBIT CRD ACH TRAN   ***********0196,Shopping,-5.03,Posted,misc_expenses,miscellaneous,Target_-5.03_9/9/24,2024-09
2024-09-09,Target,TARGET DEBIT CRD ACH TRAN   ***********0196,Shopping,-7.31,Posted,misc_expenses,miscellaneous,Target_-7.31_9/9/24,2024-09
2024-09-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-45.04,Posted,misc_expenses,miscellaneous,Target_-45.04_9/9/24,2024-09
2024-09-09,Target,TARGET DEBIT CRD ACH TRAN   ***********2202,Shopping,-51.42,Posted,misc_expenses,miscellaneous,Target_-51.42_9/9/24,2024-09
2024-09-09,Target,TARGET DEBIT CRD ACH TRAN   ***********1474,Shopping,-125.18,Posted,misc_expenses,miscellaneous,Target_-125.18_9/9/24,2024-09
2024-09-06,ATM Fee Rebate,ATM REBATE,Atm Fee,2.5,Posted,misc_expenses,miscellaneous,ATM Fee Rebate_2.5_9/6/24,2024-09
2024-09-06,Lemoyne,P95903                   LEMOYNE      PA,Cash,-42.5,Posted,misc_expenses,miscellaneous,Lemoyne_-42.5_9/6/24,2024-09
2024-09-04,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-175.37,Posted,fixed_expenses,housing_utilities,USAA Transfer_-175.37_9/4/24,2024-09
2024-09-04,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-193.14,Posted,fixed_expenses,insurance,USAA Property and Casualty Insurance_-193.14_9/4/24,2024-09
2024-09-03,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-17.8,Posted,misc_expenses,miscellaneous,Target_-17.8_9/3/24,2024-09
2024-09-03,D & Q Nails Spa Virginia Beacva,D & Q NAILS SPA          VIRGINIA BEACVA,Personal Care,-83,Posted,misc_expenses,personal_care,D & Q Nails Spa Virginia Beacva_-83_9/3/24,2024-09
2024-09-03,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-324,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-324_9/3/24,2024-09
2024-08-29,Federal Payment,3801000000000000 FED PAYMNT ***********0000,Income,350.75,Posted,income,jeff_pay,Federal Payment_350.75_8/29/24,2024-08
2024-08-28,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.82,Posted,income,jeff_pay,Defense Finance and Accounting Service_5422.82_8/28/24,2024-08
2024-08-27,Midland National Life Insurance,MIDLAND NATIONAL INSURANCE  ***********1874,Life Insurance,-195.8,Posted,fixed_expenses,insurance,Midland National Life Insurance_-195.8_8/27/24,2024-08
2024-08-22,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-40,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-40_8/22/24,2024-08
2024-08-21,Nordstrom,NORDSTROM        TRANS      ***********9798,Shopping,-192.67,Posted,misc_expenses,clothing,Nordstrom_-192.67_8/21/24,2024-08
2024-08-21,Dominion Energy,DOMINION ENERGY  BILLPAY    ***********7814,Bills & Utilities,-220.77,Posted,fixed_expenses,housing_utilities,Dominion Energy_-220.77_8/21/24,2024-08
2024-08-20,Chase Credit Card,CHASE CREDIT CRD EPAY       ***********4004,Credit Card Payment,-153.99,Posted,misc_expenses,chase_credit_card,Chase Credit Card_-153.99_8/20/24,2024-08
2024-08-19,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-238.03,Posted,misc_expenses,miscellaneous,Target_-238.03_8/19/24,2024-08
2024-08-16,Interest Paid,INTEREST PAID,Interest Income,0.03,Posted,income,miscellaneous,Interest Paid_0.03_8/16/24,2024-08
2024-08-15,ICPayment,ICPAYMENT,Transfer,-814.04,Posted,fixed_expenses,transportation,ICPayment_-814.04_8/15/24,2024-08
2024-08-15,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,fixed_expenses,housing_utilities,USAA Transfer_-3200_8/15/24,2024-08
2024-08-13,Defense Finance and Accounting Service,DFAS-CLEVELAND   NAVY ACT   ***********1645,Paycheck,5422.86,Posted,income,jeff_pay,Defense Finance and Accounting Service_5422.86_8/13/24,2024-08
2024-08-08,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-45,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-45_8/8/24,2024-08
2024-08-07,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-1,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-1_8/7/24,2024-08
2024-08-07,Zelle Transfer to Amber Carroll,Zelle: Amber Carroll,Transfer,-45,Posted,fixed_expenses,child_care,Zelle Transfer to Amber Carroll_-45_8/7/24,2024-08
2024-08-06,ATM Fee Rebate,ATM REBATE,Atm Fee,3,Posted,income,miscellaneous,ATM Fee Rebate_3_8/6/24,2024-08
2024-08-06,North Island,NORTH ISLAND CR          CORONADO     CA,Cash,-103,Posted,misc_expenses,miscellaneous,North Island_-103_8/6/24,2024-08
2024-08-05,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,45.3,Posted,misc_expenses,miscellaneous,Target_45.3_8/5/24,2024-08
2024-08-05,Target,TARGET DEBIT CRD ACH TRAN   ***********2770,Shopping,-42.22,Posted,misc_expenses,miscellaneous,Target_-42.22_8/5/24,2024-08
2024-08-05,USAA Property and Casualty Insurance,USAA P&C         AUTOPAY    ***********3049,Financial,-147.48,Posted,fixed_expenses,insurance,USAA Property and Casualty Insurance_-147.48_8/5/24,2024-08
2024-07-31,Target,TARGET DEBIT CRD ACH TRAN   ***********0185,Shopping,-22.15,Posted,misc_expenses,miscellaneous,Target_-22.15_7/31/24,2024-07
