Date,Description,Original Description,Category,Amount,Status,Transaction Type,Transaction Category
9/4/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
9/3/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
9/3/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
8/30/24,Interest Paid,INTEREST PAID,Interest Income,0.25,Posted,income,miscellaneous
8/30/24,Transfer to Venmo,VENMO            PAYMENT    ***********6604,Transfer,-45,Posted,misc_expenses,miscellaneous
8/29/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********8786,Paycheck,3190,Posted,income,elaina_pay
8/22/24,Transfer to Venmo,VENMO            PAYMENT    ***********5240,Transfer,-76,Posted,fixed_expenses,child_care
8/20/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
8/19/24,Mobile Deposit,DEPOSIT@MOBILE,Income,1276.93,Posted,savings,miscellaneous
8/19/24,Mobile Deposit,DEPOSIT@MOBILE,Income,5.25,Posted,savings,miscellaneous
8/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
8/12/24,Transfer to Venmo,VENMO            PAYMENT    ***********2861,Transfer,-81,Posted,fixed_expenses,child_care
8/9/24,Transfer to Venmo,VENMO            PAYMENT    ***********1185,Transfer,-72,Posted,fixed_expenses,child_care
8/8/24,Transfer to Venmo,VENMO            PAYMENT    ***********5636,Transfer,-72,Posted,fixed_expenses,child_care
8/7/24,Transfer to Venmo,VENMO            PAYMENT    ***********5527,Transfer,-72,Posted,fixed_expenses,child_care
8/6/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
8/5/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
8/2/24,Transfer to Venmo,VENMO            PAYMENT    ***********8740,Transfer,-72,Posted,fixed_expenses,child_care
8/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
8/1/24,Transfer to Venmo,VENMO            PAYMENT    ***********9618,Transfer,-72,Posted,fixed_expenses,child_care
7/31/24,Interest Paid,INTEREST PAID,Interest Income,0.22,Posted,income,miscellaneous
7/31/24,Transfer to Venmo,VENMO            PAYMENT    ***********8070,Transfer,-72,Posted,fixed_expenses,child_care
7/29/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********3373,Paycheck,3085.8,Posted,income,elaina_pay
7/25/24,Transfer to Venmo,VENMO            PAYMENT    ***********6264,Transfer,-72,Posted,fixed_expenses,child_care
7/23/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
7/15/24,USAA FUNDS TRANSFER CR,USAA FUNDS TRANSFER CR,Category Pending,1100,Posted,savings,savings
7/9/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
7/5/24,Transfer to Venmo,VENMO            PAYMENT    ***********1592,Transfer,-72,Posted,misc_expenses,child_care
7/3/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
7/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
6/28/24,Interest Paid,INTEREST PAID,Interest Income,0.19,Posted,income,miscellaneous
6/27/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9991,Paycheck,1760,Posted,income,elaina_pay
6/27/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9992,Paycheck,110,Posted,income,elaina_pay
6/25/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
6/24/24,Transfer to Venmo,VENMO            PAYMENT    ***********1105,Transfer,-54,Posted,misc_expenses,child_care
6/21/24,Transfer to Venmo,VENMO            PAYMENT    ***********1922,Transfer,-54,Posted,misc_expenses,child_care
6/20/24,Transfer to Venmo,VENMO            PAYMENT    ***********8616,Transfer,-54,Posted,misc_expenses,child_care
6/17/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
6/13/24,Transfer to Venmo,VENMO            PAYMENT    ***********6366,Transfer,-72,Posted,misc_expenses,child_care
6/12/24,Transfer to Venmo,VENMO            PAYMENT    ***********6322,Transfer,-72,Posted,misc_expenses,child_care
6/11/24,Transfer to Venmo,VENMO            PAYMENT    ***********3463,Transfer,-72,Posted,misc_expenses,child_care
6/11/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
6/10/24,Transfer to Venmo,VENMO            PAYMENT    ***********0357,Transfer,-195,Posted,misc_expenses,miscellaneous
6/4/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
6/3/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
6/3/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-6606.31,Posted,misc_expenses,usaa_credit_card
5/31/24,Interest Paid,INTEREST PAID,Interest Income,0.2,Posted,income,miscellaneous
5/31/24,Transfer to Venmo,VENMO            PAYMENT    ***********7766,Transfer,-15,Posted,misc_expenses,miscellaneous
5/30/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********4187,Paycheck,3025,Posted,income,elaina_pay
5/30/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********2085,Paycheck,110,Posted,income,elaina_pay
5/28/24,Transfer to Venmo,VENMO            PAYMENT    ***********0437,Transfer,-260,Posted,misc_expenses,miscellaneous
5/28/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
5/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
5/14/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
5/13/24,Federal Tax Refund,IRS  TREAS 310     TAX REF  ***********0908,Federal Tax,4277,Posted,income,miscellaneous
5/6/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2700,Posted,savings,savings
5/6/24,Transfer to Venmo,VENMO            PAYMENT    ***********9445,Transfer,-100,Posted,misc_expenses,child_care
5/3/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
5/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
4/30/24,Defense Finance and Accounting Service,DFAS-CLEVELAND   PPTAS      ***********1645,Paycheck,4393.92,Posted,income,jeff_pay
4/30/24,Mobile Deposit,DEPOSIT@MOBILE,Income,693.09,Posted,income,miscellaneous
4/30/24,Interest Paid,INTEREST PAID,Interest Income,0.08,Posted,income,miscellaneous
4/30/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
4/29/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********1938,Paycheck,3520,Posted,income,elaina_pay
4/29/24,Transfer to Venmo,VENMO            PAYMENT    ***********5254,Transfer,-65,Posted,misc_expenses,child_care
4/23/24,Mobile Deposit,DEPOSIT@MOBILE,Income,800,Posted,income,miscellaneous
4/23/24,State of Ohio Taxrefunds,STATE OF OHIO    TAXREFUNDS ***********5402,Taxes,400,Posted,income,taxes
4/16/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
4/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
4/3/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
4/2/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
4/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,2500,Posted,savings,savings
4/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
4/1/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-2973.01,Posted,misc_expenses,usaa_credit_card
3/29/24,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous
3/25/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********7665,Paycheck,3520,Posted,income,elaina_pay
3/22/24,Transfer to Venmo,VENMO            PAYMENT    ***********0158,Transfer,-40,Posted,misc_expenses,child_care
3/19/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
3/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
3/7/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-500,Posted,savings,savings
3/7/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-3200,Posted,savings,savings
3/5/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
3/5/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
3/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,3000,Posted,savings,savings
3/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
3/1/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-5263.92,Posted,misc_expenses,usaa_credit_card
2/29/24,Interest Paid,INTEREST PAID,Interest Income,0.05,Posted,income,miscellaneous
2/28/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********8650,Paycheck,3920,Posted,income,elaina_pay
2/28/24,Transfer from Venmo,VENMO            CASHOUT    ***********4408,Transfer,198.9,Posted,misc_expenses,miscellaneous
2/26/24,Transfer to Venmo,VENMO            PAYMENT    ***********9346,Transfer,-40,Posted,misc_expenses,child_care
2/26/24,Transfer to Venmo,VENMO            PAYMENT    ***********5686,Transfer,-350,Posted,misc_expenses,miscellaneous
2/21/24,Transfer to Venmo,VENMO            PAYMENT    ***********9594,Transfer,-40,Posted,misc_expenses,child_care
2/20/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-500,Posted,investment,investment
2/16/24,Transfer to Venmo,VENMO            PAYMENT    ***********2560,Transfer,-40,Posted,misc_expenses,child_care
2/15/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
2/6/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-1000,Posted,investment,investment
2/5/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1000,Posted,savings,savings
2/5/24,Mobile Deposit,DEPOSIT@MOBILE,Income,110,Posted,income,miscellaneous
2/5/24,Department of Education,DEPT EDUCATION   STUDENT LN ***********0000,Student Loan,-243.42,Posted,fixed_expenses,education
2/5/24,USAA Credit Card,USAA CREDIT CARD PAYMENT,Credit Card Payment,-4401.75,Posted,misc_expenses,usaa_credit_card
2/1/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
1/31/24,Interest Paid,INTEREST PAID,Interest Income,0.06,Posted,income,miscellaneous
1/29/24,Adp Workmarket Direct Deposit,ADP WORKMARKET   DIRECT DEP ***********9018,Paycheck,2790,Posted,income,elaina_pay
1/23/24,USAA Transfer,USAA FUNDS TRANSFER DB,Transfer,-500,Posted,savings,savings
1/23/24,Vanguard,VANGUARD BUY     INVESTMENT ***********3619,Buy,-1000,Posted,investment,investment
1/22/24,Mobile Deposit,DEPOSIT@MOBILE,Income,400,Posted,income,miscellaneous
1/19/24,Transfer to Venmo,VENMO            PAYMENT    ***********4890,Transfer,-45,Posted,misc_expenses,child_care
1/17/24,Ohtaxites Ohincometx,8052-1OHTAXITES  OHINCOMETX ***********4805,Taxes,-200,Posted,fixed_expenses,taxes
1/16/24,USAA Transfer,USAA FUNDS TRANSFER CR,Transfer,1100,Posted,savings,savings
